Date,Open,High,Low,Close,Adj Close,Volume
2011-08-22,57.990002,60.259998,55.919998,59.150002,45.088440,462100
2011-08-29,60.090000,63.040001,58.509998,58.689999,44.737793,1253500
2011-09-05,56.570000,60.910000,56.570000,58.119999,44.303299,321600
2011-09-12,57.119999,61.830002,57.119999,61.369999,46.780682,326400
2011-09-19,60.110001,61.029999,54.509998,56.020000,42.702515,829800
2011-09-26,56.590000,59.509998,55.529999,55.580002,42.367130,399600
2011-10-03,55.099998,58.180000,51.930000,56.400002,42.992188,1296200
2011-10-10,57.500000,60.880001,57.500000,60.660000,46.239471,418500
2011-10-17,60.130001,61.529999,58.330002,61.459999,46.849281,412300
2011-10-24,61.750000,66.129997,61.080002,65.279999,49.761162,491300
2011-10-31,64.400002,64.739998,61.000000,63.889999,48.701603,386500
2011-11-07,63.900002,64.949997,61.869999,63.950001,48.747356,318000
2011-11-14,63.660000,63.980000,61.389999,61.919998,47.199917,388100
2011-11-21,60.869999,61.049999,57.919998,57.919998,44.150841,321800
2011-11-28,59.910000,64.209999,59.630001,63.220001,48.190884,521100
2011-12-05,64.370003,64.680000,62.090000,63.840000,48.663498,538400
2011-12-12,63.110001,63.669998,60.849998,62.150002,47.375263,419700
2011-12-19,62.709999,64.769997,60.889999,63.330002,48.274738,1036400
2011-12-26,63.160000,63.759998,62.209999,62.669998,48.811207,1016700
2012-01-02,64.059998,64.440002,62.500000,63.849998,49.730255,628200
2012-01-09,64.089996,65.500000,63.549999,64.930000,50.571430,562300
2012-01-16,65.519997,66.709999,64.750000,66.620003,51.887714,443100
2012-01-23,66.559998,68.000000,65.860001,67.669998,52.705505,738800
2012-01-30,67.080002,70.120003,66.650002,69.959999,54.489094,792200
2012-02-06,69.690002,70.320000,68.720001,68.879997,53.647926,803800
2012-02-13,69.650002,70.529999,68.650002,70.230003,54.699409,537100
2012-02-20,70.449997,70.449997,68.910004,69.800003,54.364475,416000
2012-02-27,69.239998,70.080002,67.970001,68.269997,53.172825,797200
2012-03-05,68.120003,69.580002,66.750000,69.160004,53.866020,822600
2012-03-12,69.220001,70.769997,68.739998,70.599998,54.987576,498100
2012-03-19,70.459999,71.570000,69.000000,70.120003,54.613712,345700
2012-03-26,70.889999,71.500000,69.620003,70.379997,54.838806,406700
2012-04-02,70.160004,71.160004,69.269997,69.360001,54.044064,426800
2012-04-09,68.180000,68.940002,66.720001,67.709999,52.758419,646800
2012-04-16,68.080002,69.540001,67.430000,68.690002,53.522022,821800
2012-04-23,67.620003,70.430000,67.199997,70.349998,54.815430,465300
2012-04-30,70.260002,70.820000,67.699997,67.900002,52.906460,577100
2012-05-07,67.650002,68.389999,67.000000,67.699997,52.750603,512900
2012-05-14,67.099998,67.389999,63.759998,63.869999,49.766354,523000
2012-05-21,64.019997,65.860001,63.720001,65.599998,51.114342,502600
2012-05-28,66.059998,66.660004,63.400002,63.439999,49.431301,346500
2012-06-04,63.580002,66.389999,62.590000,65.730003,51.215641,882200
2012-06-11,66.430000,66.540001,64.150002,65.849998,51.309139,431000
2012-06-18,65.440002,67.389999,65.239998,65.970001,51.402645,408800
2012-06-25,65.059998,68.199997,64.629997,68.199997,53.140205,425900
2012-07-02,68.379997,69.839996,67.989998,69.059998,53.810295,485000
2012-07-09,68.970001,69.269997,67.040001,68.730003,53.553192,257000
2012-07-16,68.610001,69.410004,68.010002,68.080002,53.046719,285200
2012-07-23,67.000000,68.500000,66.029999,68.279999,53.202545,392400
2012-07-30,68.389999,68.589996,66.339996,68.180000,53.124626,319100
2012-08-06,68.209999,69.459999,68.180000,69.199997,53.919395,316800
2012-08-13,68.980003,70.419998,68.449997,70.330002,54.799870,341500
2012-08-20,70.120003,71.150002,69.129997,69.639999,54.262222,327600
