Holdings details

Value ETF (VTV)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2087807,Becton Dickinson & Co,BDX,0.35%,Health Care Equipment & Supplies,US,---,"$571,456,313.05","2,426,051"
,2365161,General Dynamics Corp,GD,0.34%,Aerospace & Defense,US,---,"$560,474,551.50","2,051,142"
,2318024,EOG Resources Inc,EOG,0.34%,"Oil, Gas & Consumable Fuels",US,---,"$557,457,857.34","4,870,329"
,BG1FRR1,KKR & Co Inc,KKR,0.34%,Capital Markets,US,---,"$544,791,859.66","5,544,391"
,BYW36M8,PayPal Holdings Inc,PYPL,0.33%,Financial Services,US,---,"$543,139,347.10","9,001,315"
,B3K3L40,Marathon Petroleum Corp,MPC,0.33%,"Oil, Gas & Consumable Fuels",US,---,"$536,725,975.71","3,171,577"
,BK9ZQ96,Trane Technologies PLC,TT,0.33%,Building Products,US,---,"$536,078,262.33","1,901,189"
,B78C4Y8,Phillips 66,PSX,0.32%,"Oil, Gas & Consumable Fuels",US,---,"$523,761,872.64","3,675,264"
,B4MGBG6,HCA Healthcare Inc,HCA,0.32%,Health Care Providers & Services,US,---,"$522,793,214.40","1,677,232"
,2648806,Northrop Grumman Corp,NOC,0.32%,Aerospace & Defense,US,---,"$522,492,867.82","1,133,341"
,2736035,US Bancorp,USB,0.32%,Banks,US,---,"$513,704,992.76","12,242,731"
,2313405,Emerson Electric Co,EMR,0.31%,Electrical Equipment,US,---,"$508,868,209.90","4,762,454"
,2692665,PNC Financial Services Group Inc/The,PNC,0.30%,Banks,US,---,"$489,995,827.20","3,328,776"
,2665861,PACCAR Inc,PCAR,0.30%,Machinery,US,---,"$484,695,754.40","4,370,960"
,2641894,Norfolk Southern Corp,NSC,0.29%,Ground Transportation,US,---,"$478,334,311.32","1,887,814"
,2142784,FedEx Corp,FDX,0.29%,Air Freight & Logistics,US,---,"$470,675,544.27","1,890,491"
,B665KZ5,General Motors Co,GM,0.29%,Automobiles,US,---,"$468,728,379.42","11,437,979"
,2352118,Freeport-McMoRan Inc,FCX,0.28%,Metals & Mining,US,---,"$452,819,970.76","11,976,196"
,BMH4FS1,Constellation Energy Corp,CEG,0.28%,Electric Utilities,US,---,"$449,723,935.65","2,669,777"
,2359506,Arthur J Gallagher & Co,AJG,0.27%,Insurance,US,---,"$439,905,069.51","1,803,407"
,2011602,Air Products and Chemicals Inc,APD,0.27%,Chemicals,US,---,"$434,386,197.36","1,856,034"
,2027342,American International Group Inc,AIG,0.26%,Insurance,US,---,"$426,679,910.39","5,853,751"
,2595708,3M Co,MMM,0.26%,Industrial Conglomerates,US,---,"$424,253,869.76","4,605,448"
,2769503,Travelers Cos Inc/The,TRV,0.26%,Insurance,US,---,"$421,650,897.28","1,908,268"
,2654461,Capital One Financial Corp,COF,0.26%,Consumer Finance,US,---,"$415,907,097.21","3,022,361"
,2615468,Ford Motor Co,F,0.25%,Automobiles,US,---,"$408,809,164.12","32,862,473"
,2041364,Valero Energy Corp,VLO,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$401,745,975.62","2,839,997"
,BTGQCX1,Crown Castle Inc,CCI,0.25%,Specialized REITs,US,---,"$398,419,481.68","3,623,972"
,2651086,Nucor Corp,NUE,0.24%,Metals & Mining,US,---,"$395,007,276.00","2,054,120"
,2026361,Aflac Inc,AFL,0.24%,Insurance,US,---,"$394,304,366.94","4,883,631"
,2134781,United Rentals Inc,URI,0.24%,Trading Companies & Distributors,US,---,"$392,819,260.86","566,618"
,BKP7287,Truist Financial Corp,TFC,0.24%,Banks,US,---,"$389,997,546.84","11,149,158"
,BK4N0D7,Carrier Global Corp,CARR,0.24%,Building Products,US,---,"$389,710,619.48","7,011,706"
,2812452,Simon Property Group Inc,SPG,0.24%,Retail REITs,US,---,"$383,577,568.74","2,589,291"
,2342034,Fiserv Inc,FI,0.23%,Financial Services,US,---,"$373,852,984.34","2,504,542"
,B62B7C3,TE Connectivity Ltd,TEL,0.23%,"Electronic Equipment, Instruments & Components",US,---,"$372,692,957.68","2,596,078"
