Date,Open,High,Low,Close,Adj Close,Volume,,,,
9/7/2016,111.989998,112.660004,107.580002,108.050003,91.968697,2614700,,,,
9/14/2016,108.220001,110,107.5,108.010002,91.934654,1088000,,,,
9/21/2016,108.470001,111.239998,108.260002,109.699997,93.935936,1151900,,,,
9/28/2016,109.989998,111.07,108.970001,109.440002,93.71331,1870300,,,,
10/5/2016,109.870003,110.790001,108.010002,108.589996,92.985428,1310100,,,,
10/12/2016,108.669998,109.230003,107.300003,108.669998,93.053947,1021800,,,,
10/19/2016,108.900002,109.970001,107.919998,108.489998,92.899818,1393800,,,,
10/26/2016,107.970001,108.650002,105.5,106.220001,90.956032,3540300,,,,
11/2/2016,105.989998,108.139999,104.940002,107.669998,92.197655,1937600,,,,
11/9/2016,106.860001,115.959999,106.860001,115.809998,99.167915,3265500,,,,
11/16/2016,115.550003,118.370003,115.25,118.300003,101.300102,2145500,,,,
11/23/2016,118.190002,119.349998,117.830002,118.279999,101.282974,1576400,,,,
11/30/2016,119.080002,121.269997,118,121.239998,103.817635,2670700,,,,
12/7/2016,121.32,124.5,121.160004,123.160004,105.461723,4163800,,,,
12/14/2016,122.900002,124.029999,121.139999,123.919998,106.112495,1917600,,,,
12/21/2016,123.800003,124.029999,121.379997,122.629997,105.007889,2280800,,,,
12/28/2016,122.870003,122.870003,120.690002,121.889999,105.051979,2936300,,,,
1/4/2017,122.279999,123.910004,121.089996,122.089996,105.224342,2888100,,,,
1/11/2017,122.300003,122.830002,120.43,121.25,104.500397,3797800,,,,
1/18/2017,121.419998,122.980003,120.190002,122.610001,105.672523,3838500,,,,
1/25/2017,123.410004,124.07,120.25,121.790001,104.965782,2377400,,,,
2/1/2017,122.510002,123.220001,121.150002,121.940002,105.095078,2491300,,,,
2/8/2017,121.610001,124.93,120.959999,124.82,107.577217,2265100,,,,
2/15/2017,124.489998,126.07,124.129997,126.040001,108.628685,1549900,,,,
2/22/2017,125.870003,126.040001,123.739998,124.239998,107.077362,2385300,,,,
3/1/2017,125.639999,126.68,123.029999,123.120003,106.112061,2240700,,,,
3/8/2017,123.339996,123.620003,121.080002,122,105.146759,3366800,,,,
3/15/2017,122.57,124.339996,120.410004,120.510002,103.862625,2746300,,,,
3/22/2017,120.239998,121.75,118.559998,121.309998,104.552086,2225400,,,,
3/29/2017,121.32,123.339996,120.879997,121.730003,105.329376,2239600,,,,
4/5/2017,122.440002,122.970001,120.349998,122.790001,106.246559,2065200,,,,
4/12/2017,122.629997,122.629997,119.68,121.110001,104.792915,1256600,,,,
4/19/2017,121.529999,125.099998,121.080002,124.620003,107.830009,1948800,,,,
4/26/2017,124.510002,125.739998,122.879997,123.25,106.644585,1889300,,,,
5/3/2017,122.879997,123.290001,121.470001,122.269997,105.796623,1991900,,,,
5/10/2017,122.199997,123.089996,121.120003,121.790001,105.381279,1319100,,,,
5/17/2017,120.139999,121.529999,118.360001,121.220001,104.888084,2537600,,,,
5/24/2017,121.43,122.309998,120.300003,120.57,104.325668,849100,,,,
5/31/2017,120.82,123.43,119.110001,121.57,105.190933,1814800,,,,
6/7/2017,121.739998,124.839996,121.110001,124.699997,107.899223,1367500,,,,
6/14/2017,124.660004,124.760002,122.419998,122.419998,105.926407,1490800,,,,
6/21/2017,122.739998,123.489998,121.150002,122.370003,105.883156,1455900,,,,
6/28/2017,122.489998,124.470001,121.730003,124.129997,107.406029,1113400,,,,
7/5/2017,123.910004,123.970001,121.639999,122.519997,106.378036,1482500,,,,
7/12/2017,123.160004,124.660004,123.019997,124,107.663078,1065700,,,,
7/19/2017,124.239998,126.209999,124.199997,125.980003,109.38221,1328800,,,,
7/26/2017,126.050003,126.07,123.690002,124.459999,108.062447,1023100,,,,
8/2/2017,124.300003,124.589996,122.82,123.300003,107.055275,1160500,,,,
8/9/2017,122.720001,122.980003,119.93,121.139999,105.179871,1620600,,,,
8/16/2017,121.410004,121.910004,118.550003,120.190002,104.355049,1498900,,,,
8/23/2017,119.589996,121.449997,119.110001,120.75,104.841232,919100,,,,
8/30/2017,120.720001,123.32,120.5,121.480003,105.475067,1138000,,,,
9/6/2017,121.980003,124.110001,120.870003,124.059998,107.715164,982700,,,,
9/13/2017,123.910004,125.370003,123.68,125.099998,108.618126,1013400,,,,
9/20/2017,125.199997,126.959999,124.970001,126.699997,110.007332,3487900,,,,
9/27/2017,126.699997,129.350006,125.809998,129.350006,112.308212,2275100,,,,
10/4/2017,129.199997,129.740005,128.520004,129.089996,112.630936,1642500,,,,
10/11/2017,129.160004,129.509995,128.339996,128.619995,112.220871,1175000,,,,
10/18/2017,128.970001,129.729996,128.100006,129.169998,112.700722,1205000,,,,
10/25/2017,128.990005,129.460007,127.599998,128.889999,112.456436,1108100,,,,
11/1/2017,129.649994,129.830002,127.639999,127.93,111.618835,1318200,,,,
11/8/2017,127.68,128.229996,126.699997,127.25,111.025543,1761600,,,,
11/15/2017,126.440002,129.960007,125.839996,129.860001,113.30278,1619100,,,,
11/22/2017,130,131.600006,129.5,131.490005,114.724922,681000,,,,
11/29/2017,131.880005,134.669998,129.710007,131.850006,115.03904,1906400,,,,
12/6/2017,131.630005,132.869995,131.149994,132.130005,115.283356,1116700,,,,
12/13/2017,132.100006,134.270004,130.5,133.029999,116.068573,1617300,,,,
12/20/2017,133.479996,133.960007,132.570007,133.080002,116.112221,1122600,,,,
12/27/2017,133.25,133.979996,132.759995,133.839996,117.534973,1505000,,,,
1/3/2018,133.880005,135.270004,133.429993,134.660004,118.255051,2015300,,,,
1/10/2018,134.410004,137.779999,133.880005,135.690002,119.159607,1533100,,,,
1/17/2018,136.289993,138.5,135.740005,138.259995,121.416504,1662900,,,,
1/24/2018,138.610001,138.960007,135.520004,135.830002,119.282539,2362400,,,,
1/31/2018,136.350006,136.830002,124.510002,129.179993,113.44268,3184000,,,,
2/7/2018,128.910004,130.179993,123.029999,128.039993,112.441544,1967500,,,,
2/14/2018,127.239998,132.479996,127.169998,130.699997,114.777489,1388400,,,,
2/21/2018,130.880005,133.25,130.220001,130.729996,114.803848,1096500,,,,
2/28/2018,131.130005,132.429993,127.209999,132.320007,116.200172,1313500,,,,
3/7/2018,131.419998,135.339996,131.419998,134,117.675484,1055100,,,,
3/14/2018,134.589996,134.740005,131.309998,132.320007,116.200172,976200,,,,
3/21/2018,132.339996,133.740005,126.589996,127.540001,112.002457,1272800,,,,
3/28/2018,127.839996,130.070007,125.540001,128.470001,113.301857,2908300,,,,
4/4/2018,126.919998,130.949997,126.699997,130.070007,114.712944,1071800,,,,
4/11/2018,129.490005,132.710007,129.490005,132.259995,116.644356,946600,,,,
4/18/2018,132.679993,133.529999,130.119995,131.029999,115.559586,1025400,,,,
